municipio;mesorregiao
Abreu e Lima;METROPOLITANA
Afogados da Ingazeira;SERTÃO
Afrânio;São Francisco
Agrestina;AGRESTE
Água Preta;ZONA DA MATA
Águas Belas;AGRESTE
Alagoinha;AGRESTE
Aliança;ZONA DA MATA
Altinho;AGRESTE
Amaraji;ZONA DA MATA
Angelim;AGRESTE
Araçoiaba;METROPOLITANA
Araripina;SERTÃO
Arcoverde;SERTÃO
Barra de Guabiraba;AGRESTE
Barreiros;ZONA DA MATA
Belém de Maria;ZONA DA MATA
Belém do São Francisco;São Francisco
Belo Jardim;AGRESTE
Betânia;SERTÃO
Bezerros;AGRESTE
Bodocó;SERTÃO
Bom Conselho;AGRESTE
Bom Jardim;AGRESTE
Bonito;AGRESTE
Brejão;AGRESTE
Brejinho;SERTÃO
Brejo da Madre de Deus;AGRESTE
Buenos Aires;ZONA DA MATA
Buíque;AGRESTE
Cabo de Santo Agostinho;METROPOLITANA
Cabrobó;São Francisco
Cachoeirinha;AGRESTE
Caetés;AGRESTE
Calçado;AGRESTE
Calumbi;SERTÃO
Camaragibe;METROPOLITANA
Camocim de São Félix;AGRESTE
Camutanga;ZONA DA MATA
Canhotinho;AGRESTE
Capoeiras;AGRESTE
Carnaíba;SERTÃO
Carnaubeira da Penha;São Francisco
Carpina;ZONA DA MATA
Caruaru;AGRESTE
Casinhas;AGRESTE
Catende;ZONA DA MATA
Cedro;SERTÃO
Chã de Alegria;ZONA DA MATA
Chã Grande;ZONA DA MATA
Condado;ZONA DA MATA
Correntes;AGRESTE
Cortês;ZONA DA MATA
Cumaru;AGRESTE
Cupira;AGRESTE
Custódia;SERTÃO
Dormentes;São Francisco
Escada;ZONA DA MATA
Exu;SERTÃO
Feira Nova;AGRESTE
Fernando de Noronha;FERNANDO DE NORONHA
Ferreiros;ZONA DA MATA
Flores;SERTÃO
Floresta;São Francisco
Frei Miguelinho;AGRESTE
Gameleira;ZONA DA MATA
Garanhuns;AGRESTE
Glória do Goitá;ZONA DA MATA
Goiana;METROPOLITANA
Granito;SERTÃO
Gravatá;AGRESTE
Iati;AGRESTE
Ibimirim;SERTÃO
Ibirajuba;AGRESTE
Igarassu;METROPOLITANA
Iguaracy;SERTÃO
Ilha de Itamaracá;METROPOLITANA
Inajá;SERTÃO
Ingazeira;SERTÃO
Ipojuca;METROPOLITANA
Ipubi;SERTÃO
Itacuruba;São Francisco
Itaíba;AGRESTE
Itambé;ZONA DA MATA
Itapetim;SERTÃO
Itapissuma;METROPOLITANA
Itaquitinga;ZONA DA MATA
Jaboatão dos Guararapes;METROPOLITANA
Jaqueira;ZONA DA MATA
Jataúba;AGRESTE
Jatobá;São Francisco
João Alfredo;AGRESTE
Joaquim Nabuco;ZONA DA MATA
Jucati;AGRESTE
Jupi;AGRESTE
Jurema;AGRESTE
Lagoa de Itaenga;ZONA DA MATA
Lagoa do Carro;ZONA DA MATA
Lagoa do Ouro;AGRESTE
Lagoa dos Gatos;AGRESTE
Lagoa Grande;São Francisco
Lajedo;AGRESTE
Limoeiro;AGRESTE
Macaparana;ZONA DA MATA
Machados;AGRESTE
Manari;SERTÃO
Maraial;ZONA DA MATA
Mirandiba;SERTÃO
Moreilândia;SERTÃO
Moreno;METROPOLITANA
Nazaré da Mata;ZONA DA MATA
Olinda;METROPOLITANA
Orobó;AGRESTE
Orocó;São Francisco
Ouricuri;SERTÃO
Palmares;ZONA DA MATA
Palmeirina;AGRESTE
Panelas;AGRESTE
Paranatama;AGRESTE
Parnamirim;SERTÃO
Passira;AGRESTE
Paudalho;ZONA DA MATA
Paulista;METROPOLITANA
Pedra;AGRESTE
Pesqueira;AGRESTE
Petrolândia;São Francisco
Petrolina;São Francisco
Poção;AGRESTE
Pombos;ZONA DA MATA
Primavera;ZONA DA MATA
Quipapá;ZONA DA MATA
Quixaba;SERTÃO
Recife;METROPOLITANA
Riacho das Almas;AGRESTE
Ribeirão;ZONA DA MATA
Rio Formoso;ZONA DA MATA
Sairé;AGRESTE
Salgadinho;AGRESTE
Salgueiro;SERTÃO
Saloá;AGRESTE
Sanharó;AGRESTE
Santa Cruz;SERTÃO
Santa Cruz da Baixa Verde;SERTÃO
Santa Cruz do Capibaribe;AGRESTE
Santa Filomena;SERTÃO
Santa Maria da Boa Vista;São Francisco
Santa Maria do Cambucá;AGRESTE
Santa Terezinha;SERTÃO
São Benedito do Sul;ZONA DA MATA
São Bento do Una;AGRESTE
São Caetano;AGRESTE
São João;AGRESTE
São Joaquim do Monte;AGRESTE
São José da Coroa Grande;ZONA DA MATA
São José do Belmonte;SERTÃO
São José do Egito;SERTÃO
São Lourenço da Mata;METROPOLITANA
São Vicente Férrer;AGRESTE
Serra Talhada;SERTÃO
Serrita;SERTÃO
Sertânia;SERTÃO
Sirinhaém;ZONA DA MATA
Solidão;SERTÃO
Surubim;AGRESTE
Tabira;SERTÃO
Tacaimbó;AGRESTE
Tacaratu;São Francisco
Tamandaré;ZONA DA MATA
Taquaritinga do Norte;AGRESTE
Terezinha;AGRESTE
Terra Nova;São Francisco
Timbaúba;ZONA DA MATA
Toritama;AGRESTE
Tracunhaém;ZONA DA MATA
Trindade;SERTÃO
Triunfo;SERTÃO
Tupanatinga;AGRESTE
Tuparetama;SERTÃO
Venturosa;AGRESTE
Verdejante;SERTÃO
Vertente do Lério;AGRESTE
Vertentes;AGRESTE
Vicência;ZONA DA MATA
Vitória de Santo Antão;ZONA DA MATA
Xexéu;ZONA DA MATA
;